City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Torri di Quartesolo,45.525,11.6123,21.07,62,16,0.61,IT,1664213912
Guane,22.2025,-84.0875,24.97,86,100,5.91,CU,1664213914
Gilgit,35.9221,74.3087,23.83,34,0,0.69,PK,1664213915
Atuona,-9.8,-139.0333,24.87,73,29,10.03,PF,1664213916
Hornepayne,49.2138,-84.7705,6.86,96,100,5.01,CA,1664213918
Kalakamati,-20.5929,27.3121,24.56,20,2,2.33,BW,1664213919
Port Alfred,-33.5906,26.891,17.88,96,98,2.24,ZA,1664213921
Port Elizabeth,-33.918,25.5701,18.94,92,100,6.17,ZA,1664213922
Kaitong,44.8135,123.15,13.37,80,9,0.65,CN,1664213924
Faanui,-16.4833,-151.75,25.66,74,4,7.42,PF,1664213925
Taoudenni,22.6783,-3.9836,40.7,14,70,3.64,ML,1664213927
Kosh-Agach,50.0,88.6667,7.14,49,58,0.82,RU,1664213928
Rosita,13.9268,-84.4032,33.96,47,83,2.1,NI,1664213930
Keti Bandar,24.1447,67.4497,27.68,70,11,3.33,PK,1664213931
Groningen,5.8,-55.4667,34.95,47,1,3.74,SR,1664213934
Mae Hong Son,19.3003,97.9685,22.0,99,33,0.4,TH,1664213935
Quzhou,28.9594,118.8686,20.79,84,69,3.03,CN,1664213653
Porto Velho,-8.7619,-63.9039,35.03,41,0,2.06,BR,1664213698
Korla,41.7597,86.1469,21.81,21,0,1.3,CN,1664213939
Kuito,-12.3833,16.9333,21.35,41,97,1.35,AO,1664213940
Punta Arenas,-53.15,-70.9167,8.06,57,40,17.49,CL,1664213942
Touros,-5.1989,-35.4608,27.81,62,43,8.37,BR,1664213944
Lázaro Cárdenas,17.9583,-102.2,29.36,73,58,2.38,MX,1664213657
Bredasdorp,-34.5322,20.0403,13.85,86,94,3.63,ZA,1664213738
Nahariya,33.0059,35.0941,25.58,73,0,4.88,IL,1664213949
Komsomol'skiy,43.9783,46.6985,16.5,80,7,3.97,RU,1664213950
Sechura,-5.5569,-80.8222,24.64,54,26,5.99,PE,1664213952
Yulara,-25.2406,130.9889,14.81,51,46,8.09,AU,1664213953
Severo-Kuril'sk,50.6789,156.125,8.87,85,75,4.9,RU,1664213955
Anadyr,64.75,177.4833,-3.72,93,0,3.0,RU,1664213956
Mahébourg,-20.4081,57.7,22.16,64,20,7.2,MU,1664213958
Ribeira Grande,38.5167,-28.7,23.22,64,75,7.2,PT,1664213959
Kalevala,65.2,31.1667,7.17,95,100,2.33,RU,1664213961
Ushuaia,-54.8,-68.3,5.81,75,75,11.32,AR,1664213962
Adré,13.4667,22.2,22.88,69,58,7.16,TD,1664213964
Atar,20.5169,-13.0499,36.64,27,49,3.83,MR,1664213965
La Asuncion,11.0333,-63.8628,34.85,52,20,5.66,VE,1664213967
Am Timan,11.0297,20.2827,26.14,75,75,2.6,TD,1664213969
Olden,61.8364,6.8064,10.41,98,100,1.66,NO,1664213971
Tiksi,71.6872,128.8694,0.71,88,100,9.34,RU,1664213973
Seoul,37.5683,126.9778,16.69,94,0,1.54,KR,1664213695
Tilichiki,60.4667,166.1,-1.02,83,57,2.08,RU,1664213975
Meulaboh,4.1363,96.1285,24.13,90,99,1.59,ID,1664213976
Viedma,-40.8135,-62.9967,20.58,30,89,11.14,AR,1664213977
Kavieng,-2.5744,150.7967,27.85,75,52,5.51,PG,1664213979
Wanning,18.8003,110.3967,24.89,91,94,4.64,CN,1664213980
Kuril'sk,45.2333,147.8833,13.94,92,11,3.25,RU,1664213982
Nouakchott,18.0858,-15.9785,33.96,69,82,4.36,MR,1664213983
Dikson,73.5069,80.5464,0.43,73,100,7.66,RU,1664213985
Bambous Virieux,-20.3428,57.7575,22.14,64,20,7.2,MU,1664213987
Churāchāndpur,24.3333,93.6667,18.72,98,35,0.59,IN,1664213988
La Ronge,55.1001,-105.2842,14.14,54,20,3.6,CA,1664213989
Mar del Plata,-38.0023,-57.5575,18.01,82,40,5.66,AR,1664213991
West Bay,19.3667,-81.4167,28.04,83,40,11.32,KY,1664213992
La Tuque,47.4334,-72.7824,16.84,57,95,3.02,CA,1664213994
Bousso,10.4795,16.7117,25.43,85,50,2.46,TD,1664213996
Puerto Ayora,-0.7393,-90.3518,23.98,91,100,4.02,EC,1664213997
Otofuke,42.9917,143.2003,11.01,78,84,1.27,JP,1664213999
Lorengau,-2.0226,147.2712,28.34,70,53,4.14,PG,1664213890
Raudeberg,61.9875,5.1352,8.31,1,100,6.33,NO,1664214001
Inyonga,-6.7167,32.0667,27.32,27,49,1.73,TZ,1664214003
Ivybridge,50.3904,-3.9191,13.84,74,63,7.08,GB,1664214004
São João da Barra,-21.6403,-41.0511,27.05,75,48,8.08,BR,1664214006
Along,28.1667,94.7667,21.83,93,99,0.7,IN,1664214007
San Patricio,19.2167,-104.7,30.55,71,38,3.08,MX,1664214008
Shingū,33.7333,135.9833,23.13,91,82,1.65,JP,1664214010
Cap Malheureux,-19.9842,57.6142,22.48,64,0,4.47,MU,1664213898
